word,target 1,target 2,target,triviality_1,triviality_2,triviality
kurilian,Kurile Islands,,Kurile Islands,55,100,55
lacedaemonian,Lacedæmon or Sparta,,Lacedæmon or Sparta,54,100,54
lappic,Lapland,,Lapland,33,100,33
ovidian,Latin poet Ovid,,Latin poet Ovid,43,100,43
levitical,Levite or the Levites,law contained in the book of Leviticus,Levite or the Levites,44,67,44
liassic,Lias Formation,,Lias Formation,43,100,43
limenean,Lima,,Lima,50,100,50
linnean,Linnæus,,Linnæus,43,100,43
linnaean,Linnæus,,Linnæus,43,100,43
baconian,Lord Bacon,,Lord Bacon,50,100,50
dominical,Lord's day,,Lord's day,22,100,22
scombroid,Mackerel family,,Mackerel family,25,100,25
madecassee,Madagascar or its inhabitants,,Madagascar or its inhabitants,40,100,40
madrilenian,Madrid in Spain,,Madrid in Spain,55,100,55
maltese,Malta or to its inhabitants,,Malta or to its inhabitants,43,100,43
mammiferous,Mammalia,,Mammalia,50,100,50
neapolitan,Maples in Italy,,Maples in Italy,50,100,50
martian,Mars,,Mars,50,100,50
missal,Mass,,Mass,50,100,50
trigonia,Mesozoic rocks,,Mesozoic rocks,25,100,25
milanese,Milan in Italy,,Milan in Italy,50,100,50
modenese,Modena or its inhabitants,,Modena or its inhabitants,50,100,50
moslem,Mohammedans,,Mohammedans,33,100,33
mosaic,style of work called mosaic,Moses,Moses,100,40,40
culicid,Mosquito family,,Mosquito family,29,100,29
sinaitic,Mount Sinai,,Mount Sinai,50,100,50
atlantic,Mt,isle of Atlantis,Mt,50,75,50
musal,Muses,,Muses,40,100,40
neogaean,New World,,New World,25,100,25
norwegian,Norway,,Norway,53,100,53
ogygian,Ogyges,,Ogyges,50,100,50
orcadian,Orkney Islands,,Orkney Islands,27,100,27
oscan,Osci,,Osci,50,100,50
rugosa,Paleozoic formations,,Paleozoic formations,33,100,33
parian,Paros,,Paros,40,100,40
pharisaic,Pharisees,,Pharisees,56,100,56
pharisaical,Pharisees,,Pharisees,56,100,56
infernal,lower regions,Pluto's realm of the dead,Pluto's realm of the dead,29,25,25
polish,Poland or its inhabitants,,Poland or its inhabitants,50,100,50
polonaise,Poles,,Poles,43,100,43
pontic,Pontus,,Pontus,50,100,50
sistine,Pope Sixtus,,Pope Sixtus,29,100,29
praecocial,Præcoces,,Præcoces,50,100,50
rhodian,Rhodes,,Rhodes,50,100,50
papal,pope of Rome,Roman Catholic Church,Roman Catholic Church,40,40,40
popish,pope,Roman Catholic Church,Roman Catholic Church,75,33,33
roman,Rome,Rome,Rome,50,50,50
scotch,Scotland,,Scotland,50,100,50
semitic,Shem or his descendants,,Shem or his descendants,43,100,43
soricine,Shrew family,,Shrew family,25,100,25
sicilian,Sicily or its inhabitants,,Sicily or its inhabitants,50,100,50
calymene,Silurian age,,Silurian age,38,100,38
simious,Simian,,Simian,50,100,50
newtonian,Sir Isaac Newton,,Sir Isaac Newton,56,100,56
solpugid,Solifugæ,,Solifugæ,53,100,53
hispanic,Spain or its language,,Spain or its language,50,100,50
laconic,Spartans,,Spartans,29,100,29
laconical,Spartans,,Spartans,25,100,25
sciurine,Squirrel family,,Squirrel family,38,100,38
ambrosian,St,,St,0,100,0
augustinian,St,,St,50,100,50
dominican,St,,St,0,100,0
ursuline,St,,St,0,100,0
bernardine,St,,St,0,100,0
petrine,St,,St,50,100,50
swedish,Sweden or its inhabitants,,Sweden or its inhabitants,43,100,43
swiss,Switzerland,,Switzerland,40,100,40
aramaean,Syrians and Chaldeans,,Syrians and Chaldeans,50,100,50
fuegian,Terra del Fuego,,Terra del Fuego,43,100,43
theban,Thebes,,Thebes,50,100,50
thebaic,Thebes in Egypt,,Thebes in Egypt,43,100,43
bosporian,Thracian or the Cimmerian Bosporus,,Thracian or the Cimmerian Bosporus,56,100,56
tolletane,Toledo in Spain,,Toledo in Spain,44,100,44
tory,Tories,,Tories,50,100,50
ottoman,Turks,,Turks,0,100,0
tychonic,Tycho Brahe,,Tycho Brahe,50,100,50
tyrian,Tyre or its people,,Tyre or its people,33,100,33
taenioid,Tænia,,Tænia,40,100,40
columbian,United States,,United States,22,100,22
american,America,United States,United States,86,25,25
ural-altaic,Urals and the Altai,,Urals and the Altai,53,100,53
venetian,Venice in Italy,,Venice in Italy,50,100,50
paphian,Paphos,Venus,Venus,50,20,20
welsh,Wales,,Wales,40,100,40
zoanthoid,Zoanthacea,,Zoanthacea,56,100,56
zoilean,Zoilus,,Zoilus,50,100,50
indian,India proper,aborigines,aborigines,67,50,50
tetrolic,acid,,acid,25,100,25
santonic,acid,,acid,33,100,33
trigenic,acid,,acid,25,100,25
tiglic,acid,,acid,25,100,25
terpenylic,acid,,acid,25,100,25
metatungstic,acid known only in its salts,,acid known only in its salts,33,100,33
saccholactic,acid now called mucic acid,,acid now called mucic acid,42,100,42
sacchulmic,acid obtained as a dark amorphous substance by the long-continued boiling of sucrose with very dilute sulphuric acid,,acid obtained as a dark amorphous substance by the long-continued boiling of sucrose with very dilute sulphuric acid,50,100,50
stearolic,acid of the acetylene series,,acid of the acetylene series,44,100,44
glutaric,acid so called,,acid so called,27,100,27
typographic,act or act of representing by types or symbols,typography or printing,act or act of representing by types or symbols,45,82,45
typographical,act or act of representing by types or symbols,typography or printing,act or act of representing by types or symbols,38,69,38
panhellenic,all Greece,,all Greece,50,100,50
irritability,all living organisms,,all living organisms,33,100,33
pangothic,all the Gothic races,,all the Gothic races,56,100,56
amygdaline,almonds,,almonds,43,100,43
amygdalic,almonds,,almonds,43,100,43
corinthian,Corinthian order of architecture,amateur sailor or yachtsman,amateur sailor or yachtsman,90,40,40
carthaginian,ancient Carthage,,ancient Carthage,50,100,50
punic,ancient Carthaginians,,ancient Carthaginians,40,100,40
pyrrhic,ancient Greek martial dance,pyrrhic,ancient Greek martial dance,29,100,29
classical,ancient Greeks and Romans,places inhabited by the ancient Greeks and Romans,ancient Greeks and Romans,22,44,22
classic,ancient Greeks and Romans,places inhabited by the ancient Greeks and Romans,ancient Greeks and Romans,29,43,29
dorian,ancient Greeks of Doris,,ancient Greeks of Doris,55,100,55
norse,ancient Scandinavia,,ancient Scandinavia,20,100,20
trojan,ancient Troy or its inhabitants,,ancient Troy or its inhabitants,50,100,50
sulphovinic,and formerly designating,,and formerly designating,36,100,36
gonidial,angles of the mouth,,angles of the mouth,25,100,25
tartrelic,anhydride,,anhydride,35,100,35
adipose,animal fat,,animal fat,29,100,29
zooenic,animals,,animals,29,100,29
zoic,animals,,animals,25,100,25
zoonic,animals,,animals,33,100,33
chelonian,animals of the tortoise kind,,animals of the tortoise kind,44,100,44
incident,another thing,passing with,another thing,29,50,29
formicate,ant or ants,,ant or ants,47,100,47
pithecoid,genus Pithecia,anthropoid apes in particular,anthropoid apes in particular,71,56,56
internal-combustion,any engine,,any engine,34,100,34
sulphinic,any one of a series of acids regarded as acid ethereal salts of hyposulphurous acid,,any one of a series of acids regarded as acid ethereal salts of hyposulphurous acid,56,100,56
romanic,Rome or its people,any or all of the various languages which,any or all of the various languages which,29,29,29
zeitgeist,any period of time,,any period of time,30,100,30
pauline,apostle Paul,,apostle Paul,43,100,43
ghostly,apparitions,,apparitions,29,100,29
patrician,Roman patres,appropriate to,appropriate to,44,44,44
nymphean,appropriate to,,appropriate to,25,100,25
apsidal,apsides of an orbit,apse of a church,apse of a church,71,43,43
arctogeal,arctic lands,,arctic lands,56,100,56
stratonic,army,,army,25,100,25
sagittal,arrow,sagittal suture,arrow,20,100,20
architectural,art of building,,art of building,38,100,38
lithoglyphic,art of cutting and engraving precious stones,,art of cutting and engraving precious stones,33,100,33
lapidary,art of cutting stones,monumental inscriptions,art of cutting stones,14,38,14
veterinary,art of healing or treating the diseases of domestic animals,,art of healing or treating the diseases of domestic animals,40,100,40
taxidermic,art of preparing and preserving the skins of animals,,art of preparing and preserving the skins of animals,30,100,30
graphic,arts of painting and drawing,art of writing,art of writing,43,29,29
graphical,arts of painting and drawing,art of writing,art of writing,33,22,22
galvanoplastic,art or process of electrotyping,,art or process of electrotyping,29,100,29
louis quatorze,art or style of the times of Louis XIV,,art or style of the times of Louis XIV,36,100,36
-ic,as,as,as,0,0,0
favillous,ashes,,ashes,29,100,29
agonistical,athletic or polemic feats,,athletic or polemic feats,36,100,36
agonistic,athletic or polemic feats,,athletic or polemic feats,44,100,44
meteorologic,atmosphere and its phenomena,,atmosphere and its phenomena,25,100,25
meteorological,atmosphere and its phenomena,,atmosphere and its phenomena,30,100,30
desquamative,attended with,,attended with,25,100,25
desquamatory,attended with,,attended with,25,100,25
tergal,back,,back,25,100,25
notal,back,,back,25,100,25
nuchal,back,,back,25,100,25
spinal,backbone,spine or spines,backbone,17,67,17
riparian,bank of a river,,bank of a river,38,100,38
tonsorial,barber,,barber,17,100,17
nidamental,baring,,baring,33,100,33
balneal,bath,,bath,50,100,50
rostral,beak or snout of an animal,,beak or snout of an animal,43,100,43
ursine,bear,,bear,25,100,25
clinic,bed,clinic,bed,0,100,0
thoral,bed,,bed,0,100,0
clinical,bed,clinic,bed,0,100,0
inchoative,beginning,,beginning,32,100,32
initial,beginning,,beginning,43,100,43
primitive,beginning or origin,former time,beginning or origin,33,56,33
northwestern,being in,,being in,25,100,25
midship,being in,,being in,29,100,29
relation,being or quality,,being or quality,38,100,38
alvine,belly or the intestines,,belly or the intestines,50,100,50
ortho-,benzene compounds,,benzene compounds,33,100,33
avicular,bird or to birds,,bird or to birds,25,100,25
ornithic,birds,,birds,20,100,20
melanic,black-haired races,,black-haired races,43,100,43
vesical,bladder,,bladder,14,100,14
vesicoprostatic,bladder and the prostrate gland,,bladder and the prostrate gland,53,100,53
vesicouterine,bladder and the uterus,,bladder and the uterus,40,100,40
vesicovaginal,bladder and the vagina,,bladder and the vagina,56,100,56
haematic,blood,,blood,0,100,0
sanguineous,blood,,blood,20,100,20
cyanic,blue color,,blue color,17,100,17
navicular,boat or ship,,boat or ship,22,100,22
carnal,body or is appetites,,body or is appetites,17,100,17
palustral,bog or marsh,,bog or marsh,22,100,22
captive,bondage or confinement,,bondage or confinement,43,100,43
basioccipital,bone in the base of the cranium,,bone in the base of the cranium,38,100,38
myelogenic,bone marrow,,bone marrow,20,100,20
hyoid,bony or cartilaginous arch which supports the tongue,,bony or cartilaginous arch which supports the tongue,40,100,40
eurasian,both Europe and Asia,,both Europe and Asia,50,100,50
pan-american,both North and South America,,both North and South America,52,100,52
spontaneity,both animal and vegetable organisms,,both animal and vegetable organisms,36,100,36
binaural,both ears,,both ears,38,100,38
photothermic,both light and heat,,both light and heat,33,100,33
nervomuscular,both nerves and muscles,,both nerves and muscles,50,100,50
neurenteric,both the neuron and the enteron,,both the neuron and the enteron,55,100,55
recto-vesical,both the rectum and the bladder,,both the rectum and the bladder,38,100,38
recto-uterine,both the rectum and the uterus,,both the rectum and the uterus,46,100,46
sacrosciatic,both the sacrum and the hip,,both the sacrum and the hip,50,100,50
temporo-auricular,both the temple and the ear,,both the temple and the ear,35,100,35
temporofacial,both the temple and the face,,both the temple and the face,38,100,38
nasopharyngeal,both throat and nose,,both throat and nose,29,100,29
tibiotarsal,both to the tibia and the tarsus,tibiotarsus,both to the tibia and the tarsus,55,82,55
oenanthic,bouquet of wine,,bouquet of wine,33,100,33
lettic,Letts,branch of the Slavic family,branch of the Slavic family,60,50,50
panary,bread or to breadmaking,,bread or to breadmaking,33,100,33
artocarpous,breadfruit,,breadfruit,40,100,40
artocarpeous,breadfruit,,breadfruit,36,100,36
pectoral,breast,,breast,33,100,33
aspiratory,breathing,,breathing,35,100,35
fraternal,brethren,,brethren,50,100,50
pontifical,pontiff,building of bridges,building of bridges,86,30,30
parietal,wall,buildings or the care of them,buildings or the care of them,50,38,38
tauromachian,bullfights,,bullfights,20,100,20
obsequy,burial,,burial,33,100,33
sepulchral,burial,,burial,50,100,50
pragmatical,business or to affairs,,business or to affairs,36,100,36
pragmatic,business or to affairs,,business or to affairs,33,100,33
fat,butter,,butter,33,100,33
sural,calf of the leg,,calf of the leg,20,100,20
vituline,calf or veal,,calf or veal,25,100,25
vocative,calling,,calling,46,100,46
metropolitan,capital or principal city of a country,metropolitan or the presiding bishop of a country or province,capital or principal city of a country,42,100,42
primipilar,captain of the vanguard of a Roman army,,captain of the vanguard of a Roman army,30,100,30
palmic,castor-oil plant,,castor-oil plant,33,100,33
microbian,caused by,,caused by,22,100,22
filarial,caused by,,caused by,12,100,12
zymotic,caused by,certain class of diseases,caused by,14,29,14
metastatic,caused by,,caused by,22,100,22
chelidonic,celandine,,celandine,56,100,56
barycentric,center of gravity,,center of gravity,43,100,43
cerebro-spinal,central nervous system consisting of the brain and spinal cord,,central nervous system consisting of the brain and spinal cord,43,100,43
oriskany,certain beds,latest period of the Silurian age,certain beds,38,50,38
glaucophane,certain crystalline rocks,,certain crystalline rocks,36,100,36
ottrelite,certain crystalline schists,,certain crystalline schists,44,100,44
pseudo-symmetry,certain crystals which from twinning,,certain crystals which from twinning,20,100,20
columnar,certain igneous rocks,,certain igneous rocks,38,100,38
autosuggestion,certain mental conditions in which expectant belief tends to produce disturbance of function of one or more organs,,certain mental conditions in which expectant belief tends to produce disturbance of function of one or more organs,36,100,36
huronian,certain non-fossiliferous rocks on the borders of Lake Huron,,certain non-fossiliferous rocks on the borders of Lake Huron,50,100,50
eleatic,certain school of Greek philosophers who taught that the only certain science is that which owes nothing to the senses,,certain school of Greek philosophers who taught that the only certain science is that which owes nothing to the senses,43,100,43
vehmic,certain secret tribunals flourished in Germany from the end of the 12th century to the middle of the 16th,,certain secret tribunals flourished in Germany from the end of the 12th century to the middle of the 16th,50,100,50
trichite,certain sponges,,certain sponges,26,100,26
oligocene,certain strata which occupy an intermediate position between the Eocene and Miocene periods,,certain strata which occupy an intermediate position between the Eocene and Miocene periods,56,100,56
uncial,certain style of letters used in ancient manuscripts,,certain style of letters used in ancient manuscripts,50,100,50
trimellic,certain tribasic acid,,certain tribasic acid,56,100,56
stigma,certain varieties of religious ecstasy,,certain varieties of religious ecstasy,50,100,50
elvan,certain veins of feldspathic or porphyritic rock crossing metalliferous veins in the mining districts of Cornwall,,certain veins of feldspathic or porphyritic rock crossing metalliferous veins in the mining districts of Cornwall,40,100,40
fluidal,certain volcanic rocks in which the arrangement of the minute crystals shows the lines of flow of thew molten material before solidification,,certain volcanic rocks in which the arrangement of the minute crystals shows the lines of flow of thew molten material before solidification,43,100,43
aleutian,chain of islands between Alaska and Kamtchatka,,chain of islands between Alaska and Kamtchatka,38,100,38
aleutic,chain of islands between Alaska and Kamtchatka,,chain of islands between Alaska and Kamtchatka,29,100,29
appalachian,chain of mountains in the United States,,chain of mountains in the United States,27,100,27
metabolic,metamorphosis,change,change,56,17,17
paraschematic,change from the right form,,change from the right form,31,100,31
lithologic,character of a rock,lithology,character of a rock,30,89,30
lithological,character of a rock,lithology,character of a rock,33,89,33
pliocene,characterizing,,characterizing,27,100,27
poecilitic,characterizing,,characterizing,30,100,30
trichopterous,characterizing,,characterizing,38,100,38
pyrognostic,characters developed by the use of heat,characters of minerals when examined before the blowpipe,characters of minerals when examined before the blowpipe,27,27,27
aurigal,chariot,,chariot,46,100,46
toreutic,sculpture in relief,chasing such as surface ornamentation in metal,chasing such as surface ornamentation in metal,50,38,38
caseic,cheese,,cheese,50,100,50
caseous,cheese,,cheese,50,100,50
puerperal,childbirth,,childbirth,11,100,11
genian,chin,,chin,50,100,50
mental,chin,mind,chin,25,50,25
mentomeckelian,chin and lower jaw,,chin and lower jaw,29,100,29
relative,chords and keys,,chords and keys,26,100,26
ecclesiastical,church,,church,33,100,33
sexton,church,,church,0,100,0
ecclesiastic,church,,church,33,100,33
anglo-catholic,church modeled on the English Reformation,,church modeled on the English Reformation,36,100,36
urbicolous,city,,city,25,100,25
unguicular,claw or a nail,,claw or a nail,40,100,40
fin de siecle,close of the 19th century,,close of the 19th century,38,100,38
habilatory,clothing,,clothing,27,100,27
orarian,coast,,coast,40,100,40
souterly,cobbler or cobblers,,cobbler or cobblers,38,100,38
crow,cock,,cock,50,100,50
nummulary,coin or money,,coin or money,27,100,27
nummular,coin or money,,coin or money,25,100,25
numismatic,coins,,coins,40,100,40
numismatical,coins,,coins,40,100,40
miniate,color of red lead or vermilion,,color of red lead or vermilion,46,100,46
pectinal,comb,,comb,25,100,25
thalian,Thalia,comedy,comedy,83,0,0
rascal,common herd or common people,,common herd or common people,33,100,33
vulgar,mass,common life,common life,25,17,17
plebeian,Roman plebs,common people,common people,62,38,38
terebilenic,complex acid,,complex acid,27,100,27
tricarballylic,complex tribasic organic acid,,complex tribasic organic acid,50,100,50
latin,Latium,composed in,composed in,60,40,40
symposiac,compotations and merrymaking,,compotations and merrymaking,44,100,44
mature,condition of full development,,condition of full development,33,100,33
natural,constitution of a thing,lower or animal nature,constitution of a thing,43,77,43
eurafric,continents of Europe and Africa combined,,continents of Europe and Africa combined,50,100,50
eurafrican,continents of Europe and Africa combined,,continents of Europe and Africa combined,50,100,50
eurasiatio,continents of Europe and Asia combined,,continents of Europe and Asia combined,40,100,40
polemic,controversy,,controversy,29,100,29
cupric,copper,,copper,50,100,50
cuprous,copper,,copper,50,100,50
venereal,venery,copper,copper,83,33,33
suberic,cork,,cork,25,100,25
subereous,cork,,cork,25,100,25
cadaveric,corpse,,corpse,33,100,33
tussicular,cough,,cough,40,100,40
rustic,country,,country,33,100,33
rural,country,agriculture,country,40,60,40
silurian,country of the ancient Silures,,country of the ancient Silures,53,100,53
tectorial,covering,,covering,50,100,50
vaccine,cows,or caused by,cows,25,29,25
incesttuous,crime of incest,,crime of incest,55,100,55
penal,punishment,criminal jurisprudence: as:,criminal jurisprudence: as:,40,40,40
crucial,cross,,cross,40,100,40
corvine,crow,,crow,50,100,50
royal,crown or the sovereign,,crown or the sovereign,40,100,40
phlogopite,crystalline limestone or dolomite and serpentine,,crystalline limestone or dolomite and serpentine,30,100,30
syphilodermatous,cutaneous manifestations of syphilis,,cutaneous manifestations of syphilis,44,100,44
sepidaceous,cuttlefishes of the genus Sepia,,cuttlefishes of the genus Sepia,45,100,45
caecal,cæcum,,cæcum,40,100,40
terpsichorean,Terpsichore,dancing,dancing,91,29,29
tripudiary,dancing,,dancing,29,100,29
obscure,darkness or night,,darkness or night,29,100,29
pridian,day before,,day before,24,100,24
black-letter,days in the calendar not marked with red letters as saints' days,,days in the calendar not marked with red letters as saints' days,50,100,50
mortuary,dead,,dead,25,100,25
carrion,dead and putrefying carcasses,,dead and putrefying carcasses,43,100,43
cadaverous,dead body,,dead body,33,100,33
obituary,death of a person or persons,,death of a person or persons,25,100,25
asthenic,debility,,debility,25,100,25
cervine,deer,,deer,50,100,50
rusine,deer of the genus Rusa,,deer of the genus Rusa,33,100,33
moratory,delay,,delay,40,100,40
diluvian,deluge,,deluge,50,100,50
demoniacal,demon or evil spirit,,demon or evil spirit,50,100,50
zoographic,description of animals,,description of animals,40,100,40
zoographical,description of animals,,description of animals,50,100,50
zooegraphic,description of animals,,description of animals,36,100,36
zooegraphical,description of animals,,description of animals,46,100,46
paleontographical,description of fossil remains,,description of fossil remains,35,100,35
orectic,desires,,desires,29,100,29
prejudical,determination of some matter not previously decided,,determination of some matter not previously decided,50,100,50
virile,developed manhood,,developed manhood,50,100,50
egyptological,devoted to,,devoted to,26,100,26
roral,dew,,dew,0,100,0
roric,dew,,dew,0,100,0
biparietal,diameter of the cranium,,diameter of the cranium,40,100,40
phrenic,diaphragm,,diaphragm,46,100,46
terephthalic,dibasic acid of the aromatic series,,dibasic acid of the aromatic series,50,100,50
mastiff,different countries,,different countries,29,100,29
pleomorphism,different genera and species,,different genera and species,33,100,33
fodient,digging,,digging,43,100,43
cenatory,dinner or supper,,dinner or supper,38,100,38
gymnastical,disciplinary exercises for the intellect,,disciplinary exercises for the intellect,27,100,27
gymnastic,disciplinary exercises for the intellect,,disciplinary exercises for the intellect,33,100,33
pathognomonic,disease,,disease,14,100,14
farcical,disease called farcy,,disease called farcy,50,100,50
morbid,disease or diseased parts,,disease or diseased parts,50,100,50
mantic,divination,,divination,50,100,50
astromantic,divination by means of the stars,,divination by means of the stars,36,100,36
hydromantic,divination by water,,divination by water,27,100,27
monocystic,division,,division,25,100,25
ordovician,division of the Silurian formation,,division of the Silurian formation,40,100,40
phocenic,dolphin oil or porpoise oil,,dolphin oil or porpoise oil,50,100,50
nocturnal,done or occuring in,,done or occuring in,56,100,56
columbine,dove,,dove,31,100,31
libelluloid,dragon fi,,dragon fi,22,100,22
potatory,drinking,,drinking,12,100,12
bibitory,drinking or tippling,,drinking or tippling,38,100,38
anatine,ducks,,ducks,0,100,0
ducal,duke,,duke,50,100,50
stercoraceous,dung,,dung,25,100,25
arbuscular,dwarf tree,,dwarf tree,30,100,30
seljukian,Seljuk,dynasty founded by him,dynasty founded by him,83,33,33
otic,ear,,ear,0,100,0
aural,air,ear,ear,67,50,50
archaeolithic,earliest Stone age,,earliest Stone age,38,100,38
archaean,earliest period in geological history,,earliest period in geological history,38,100,38
youthful,early part of life,,early part of life,38,100,38
telluric,earth,tellurium,earth,40,88,40
terrene,earth,,earth,40,100,40
tellural,earth,,earth,40,100,40
tellurian,earth,,earth,40,100,40
seismal,earthquake,,earthquake,24,100,24
seismic,earthquake,,earthquake,14,100,14
ovicular,egg,,egg,0,100,0
oval,eggs,,eggs,0,100,0
cystic,either the urinary bladder or the gall bladder,,either the urinary bladder or the gall bladder,17,100,17
high-minded,elevated principles and feelings,,elevated principles and feelings,27,100,27
pathematic,emotion or suffering,,emotion or suffering,30,100,30
imperial,empire,,empire,50,100,50
terminal,end or extremity,,end or extremity,53,100,53
vexillar,ensign or standard,vexillum,ensign or standard,31,75,31
vexillary,ensign or standard,vexillum,ensign or standard,33,75,33
pleistocene,epoch,,epoch,40,100,40
isoclinic,equality of inclination or dip,,equality of inclination or dip,56,100,56
neolithic,era characterized by late remains in stone,,era characterized by late remains in stone,33,100,33
paleolithic,era marked by early stone implements,,era marked by early stone implements,36,100,36
ethologic,ethnic or morality,,ethnic or morality,56,100,56
ethological,ethnic or morality,,ethnic or morality,48,100,48
vespertine,evening,,evening,47,100,47
vesper,evening,,evening,33,100,33
pseudo-heart,excretory system,,excretory system,33,100,33
amphitheatric,exhibited in,,exhibited in,42,100,42
amphitheatrical,exhibited in,,exhibited in,42,100,42
homopolic,exhibiting that kind of organic form,,exhibiting that kind of organic form,33,100,33
statal,existing with reference to,,existing with reference to,33,100,33
omphacine,expressed from,,expressed from,22,100,22
parenthetic,expressed in,,expressed in,45,100,45
parenthetical,expressed in,,expressed in,42,100,42
attributive,expressing,,expressing,20,100,20
hercynian,extensive forest in Germany,,extensive forest in Germany,44,100,44
pontine,extensive marshy district between Rome and Naples,,extensive marshy district between Rome and Naples,43,100,43
pudic,external organs of generation,,external organs of generation,20,100,20
hybodont,extinct genus of sharks,,extinct genus of sharks,13,100,13
oculary,eye,,eye,33,100,33
optic,vision or sight,eye,eye,20,0,0
ophthalmic,eye,,eye,0,100,0
optical,vision or sight,eye,eye,18,0,0
ocular,eye,,eye,0,100,0
superciliary,eyebrows,,eyebrows,25,100,25
palpebral,eyelids,,eyelids,29,100,29
nundinal,fair,,fair,25,100,25
nundinary,fair,,fair,50,100,50
protestant,faith and practice of those Christians who reject the authority of the Roman Catholic Church,,faith and practice of those Christians who reject the authority of the Roman Catholic Church,50,100,50
homiletical,familiar intercourse,homiletics,familiar intercourse,45,90,45
homiletic,familiar intercourse,homiletics,familiar intercourse,44,100,44
gadoid,family of fishes,,family of fishes,33,100,33
boraginaceous,family of plants,,family of plants,31,100,31
campanulaceous,family of plants,,family of plants,40,100,40
convolvulaceous,family of plants of which the bindweed and the morning-glory are common examples,,family of plants of which the bindweed and the morning-glory are common examples,40,100,40
cucurbitaceous,family of plants of which the cucumber,,family of plants of which the cucumber,43,100,43
bignoniaceous,family of plants of which the trumpet flower is an example,,family of plants of which the trumpet flower is an example,31,100,31
