word,definition,target 1,target 2,target,triviality_1,triviality_2,triviality,nontrivial,body_parts,misleading,lol,animals,people,places
shooting,"1. The act of one who, or that which, shoots; as, the shooting of an archery club; the shooting of rays of light. 2. A wounding or killing with a firearm; specifically (Sporting), the killing of game; as, a week of shooting. 3. A sensation of darting pain; as, a shooting in one's head.

Of or pertaining to shooting; for shooting; darting. Shooting board (Joinery), a fixture used in planing or shooting the edge of a board, by means of which the plane is guided and the board held true. -- Shooting box, a small house in the country for use in the shooting season. Prof. Wilson. -- Shooting gallery, a range, usually covered, with targets for practice with firearms. -- Shooting iron, a firearm. [Slang, U.S.] -- Shooting star. (a) (Astron.) A starlike, luminous meteor, that, appearing suddenly, darts quickly across some portion of the sky, and then as suddenly disappears, leaving sometimes, for a few seconds, a luminous train, - - called also falling star. Shooting stars are small cosmical bodies which encounter the earth in its annual revolution, and which become visible by coming with planetary velocity into the upper regions of the atmosphere. At certain periods, as on the 13th of November and 10th of August, they appear for a few hours in great numbers, apparently diverging from some point in the heavens, such displays being known as meteoric showers, or star showers. These bodies, before encountering the earth, were moving in orbits closely allied to the orbits of comets. See Leonids, Perseids. (b) (Bot.) The American cowslip (Dodecatheon Meadia). See under Cowslip. -- Shooting stick (Print.), a tapering piece of wood or iron, used by printers to drive up the quoins in the chase. Hansard.",shooting,,,100,100,100,False,False,False,False,False,False,False
cotyledonal,"Of, pertaining to, or resembling, a cotyledon.",cotyledon,,,100,100,100,False,False,False,False,False,False,False
slaggy,"Of or pertaining to slag; resembling slag; as, slaggy cobalt.",slag,,,100,100,100,False,False,False,False,False,False,False
orchestral,"Of or pertaining to an orchestra; suitable for, or performed in or by, an orchestra.",orchestra,,,100,100,100,False,False,False,False,False,False,False
ammoniac,"Of or pertaining to ammonia, or possessing its properties; as, an ammoniac salt; ammoniacal gas. Ammoniacal engine, an engine in which the vapor of ammonia is used as the motive force. -- Sal ammoniac Etym: [L. sal ammoniacus], the salt usually called chloride of ammonium, and formerly muriate of ammonia.

The concrete juice (gum resin) of an umbelliferous plant, the Dorema ammoniacum. It is brought chiefly from Persia in the form of yellowish tears, which occur singly, or are aggregated into masses. It has a peculiar smell, and a nauseous, sweet taste, followed by a bitter one. It is inflammable, partially soluble in water and in spirit of wine, and is used in medicine as an expectorant and resolvent, and for the formation of certain plasters.",ammonia,,,100,100,100,False,False,False,False,False,False,False
styloid,"1. Styliform; as, the styloid process. 2. (Anat.)  Of or pertaining to the styloid process. Styloid process (Anat.), a long and slender process from the lower side of the temporal bone of man, corresponding to the tympanohyal and stylohyal of other animals.",styloid process,,,100,100,100,False,False,False,False,False,False,False
torsional,"Of or pertaining to torsion; resulting from torsion, or the force with which a thread or wire returns to a state of rest after having been twisted round its axis; as, torsional force.",torsion,,,100,100,100,False,False,False,False,False,False,False
linear,"1. Of or pertaining to a line; consisting of lines; in a straight direction; lineal. 2. (Bot.)  Like a line; narrow; of the same breadth throughout, except at the extremities; as, a linear leaf. Linear differential (Math.), an equation which is of the first degree, when the expression which is equated to zero is regarded as a function of the dependent variable and its differential coefficients. -- Linear equation (Math.), an equation of the first degree between two variables; -- so called because every such equation may be considered as representing a right line. -- Linear measure, the measurement of length. -- Linear numbers (Math.), such numbers as have relation to length only: such is a number which represents one side of a plane figure. If the plane figure is square, the linear figure is called a root. -- Linear problem (Geom.), a problem which may be solved geometrically by the use of right lines alone. -- Linear transformation (Alg.), a change of variables where each variable is replaced by a function of the first degree in the new variable.",line,,,100,100,100,False,False,False,False,False,False,False
mediatorial,"Of or pertaining to a mediator, or to mediation; mediatory; as, a mediatorial office. -- Me`di*a*to""ri*al*ly, adv. My measures were . . . healing and mediatorial. Burke.",mediator,,,100,100,100,False,False,False,False,False,False,False
ritual,"Of or pertaining to rites or ritual; as, ritual service or sacrifices; the ritual law.

1. A prescribed form of performing divine service in a particular church or communion; as, the Jewish ritual. 2. Hence, the code of ceremonies observed by an organization; as, the ritual of the freemasons. 3. A book containing the rites to be observed.",rites or ritual,,,100,100,100,False,False,False,False,False,False,False
northern,"1. Of or pertaining to the north; being in the north, or nearer to that point than to the east or west. 2. In a direction toward the north; as, to steer a northern course; coming from the north; as, a northern wind. Northern diver. (Zoöl.) See Loon. -- Northern lights. See Aurora borealis, under Aurora. -- Northern spy (Bot.), an excellent American apple, of a yellowish color, marked with red.",north,,,100,100,100,False,False,False,False,False,False,False
pagan,"One who worships false goods; an idolater; a heathen; one who is neither a Christian, a Mohammedan, nor a Jew. Neither having the accent of Christians, nor the gait of Christian, pagan, nor man. Shak. Syn. -- Gentile; heathen; idolater. -- Pagan, Gentile, Heathen. Gentile was applied to the other nations of the earth as distinguished from the Jews. Pagan was the name given to idolaters in the early Christian church, because the villagers, being most remote from the centers of instruction, remained for a long time unconverted. Heathen has the same origin. Pagan is now more properly applied to rude and uncivilized idolaters, while heathen embraces all who practice idolatry.

Of or pertaining to pagans; relating to the worship or the worshipers of false goods; heathen; idolatrous, as, pagan tribes or superstitions. And all the rites of pagan honor paid. Dryden.",pagans,,,100,100,100,False,False,False,False,False,False,False
war,"Ware; aware. [Obs.] Chaucer.

1. A contest between nations or states, carried on by force, whether for defence, for revenging insults and redressing wrongs, for the extension of commerce, for the acquisition of territory, for obtaining and establishing the superiority and dominion of one over the other, or for any other purpose; armed conflict of sovereign powers; declared and open hostilities. Men will ever distinguish war from mere bloodshed. F. W. Robertson. Note: As war is the contest of nations or states, it always implies that such contest is authorized by the monarch or the sovereign power of the nation. A war begun by attacking another nation, is called an offensive war, and such attack is aggressive. War undertaken to repel invasion, or the attacks of an enemy, is called defensive. 2. (Law)  A condition of belligerency to be maintained by physical force. In this sense, levying war against the sovereign authority is treason. 3. Instruments of war. [Poetic] His complement of stores, and total war. Prior. 4. Forces; army. [Poetic] On their embattled ranks the waves return, And overwhelm their war. Milton. 5. The profession of arms; the art of war. Thou art but a youth, and he is a man of war from his youth. 1 Sam. xvii. 33. 6. a state of opposition or contest; an act of opposition; an inimical contest, act, or action; enmity; hostility. ""Raised impious war in heaven."" Milton. The words of his mouth were smoother than butter, but war was in his heart. Ps. lv. 21. Civil war, a war between different sections or parties of the same country or nation. -- Holy war. See under Holy. -- Man of war. (Naut.) See in the Vocabulary. -- Public war, a war between independent sovereign states. -- War cry, a cry or signal used in war; as, the Indian war cry. -- War dance, a dance among savages preliminary to going to war. Among the North American Indians, it is begun by some distinguished chief, and whoever joins in it thereby enlists as one of the party engaged in a warlike excursion. Schoolcraft. -- War field, a field of war or battle. -- War horse, a horse used in war; the horse of a cavalry soldier; especially, a strong, powerful, spirited horse for military service; a charger. -- War paint, paint put on the face and other parts of the body by savages, as a token of going to war. ""Wash the war paint from your faces."" Longfellow. -- War song, a song of or pertaining to war; especially, among the American Indians, a song at the war dance, full of incitements to military ardor. -- War whoop, a war cry, especially that uttered by the American Indians.

To make war; to invade or attack a state or nation with force of arms; to carry on hostilities; to be in a state by violence. Rezin the king of Syria, and Pekah the son of Remaliah, king of Israel, went up toward Jerusalem to war against it. Isa. vii. 1. Why should I war without the walls of Troy Shak. Our countrymen were warring on that day! Byron. 2. To contend; to strive violently; to fight. ""Lusts which war against the soul."" 1 Pet. ii. 11.

1. To make war upon; to fight. [R.] To war the Scot, and borders to defend. Daniel. 2. To carry on, as a contest; to wage. [R.] That thou . . . mightest war a good warfare. Tim. i. 18.",war,,,100,100,100,False,False,False,False,False,False,False
ulnar,"Of or pertaining to the ulna, or the elbow; as, the ulnar nerve.",ulna,,,100,100,100,False,False,False,False,False,False,False
vicarial,"1. Of or pertaining to a vicar; as, vicarial tithes. 2. Delegated; vicarious; as, vicarial power.",vicar,,,100,100,100,False,False,False,False,False,False,False
rabble,"An iron bar, with the end bent, used in stirring or skimming molten iron in the process of puddling.

Of or pertaining to a rabble; like, or suited to, a rabble; disorderly; vulgar. [R.] Dryden.

1. A tumultuous crowd of vulgar, noisy people; a mob; a confused, disorderly throng. I saw, I say, come out of London, even unto the presence of the prince, a great rabble of mean and light persons. Ascham. Jupiter, Mercury, Bacchus, Venus, Mars, and the whole rabble of licentious deities. Bp. Warburton. 2. A confused, incoherent discourse; a medley of voices; a chatter. The rabble, the lowest class of people, without reference to an assembly; the dregs of the people. ""The rabble call him ""lord.'"" Shak.

To speak in a confused manner. [Prov. Eng. & Scot.]

To stir or skim with a rabble, as molten iron.

1. To insult, or assault, by a mob; to mob; as, to rabble a curate. Macaulay. The bishops' carriages were stopped and the prelates themselves rabbled on their way to the house. J. R. Green. 2. To utter glibly and incoherently; to mouth without intelligence. [Obs. or Scot.]  Foxe. 3. To rumple; to crumple. [Scot.]",rabble,,,100,100,100,False,False,False,False,False,False,False
dramatical,"Of or pertaining to the drama; appropriate to, or having the qualities of, a drama; theatrical; vivid. The emperor . . . performed his part with much dramatic effect. Motley.",drama,,,100,100,100,False,False,False,False,False,False,False
urnal,"Of or pertaining to an urn; effected by an urn or urns. ""Urnal interments."" Sir T. Browne.",urn,,,100,100,100,False,False,False,False,False,False,False
volunteer,"1. One who enters into, or offers for, any service of his own free will. 2. (Mil.)  One who enters into service voluntarily, but who, when in service, is subject to discipline and regulations like other soldiers; -- opposed to conscript; specifically, a voluntary member of the organized militia of a country as distinguished from the standing army. 3. (Law)  A grantee in a voluntary conveyance; one to whom a conveyance is made without valuable consideration; a party, other than a wife or child of the grantor, to whom, or for whose benefit, a voluntary conveyance is made. Burrill.

Of or pertaining to a volunteer or volunteers; consisting of volunteers; voluntary; as, volunteer companies; volunteer advice.

To offer or bestow voluntarily, or without solicitation or compulsion; as, to volunteer one's services.

To enter into, or offer for, any service of one's own free will, without solicitation or compulsion; as, he volunteered in that undertaking.",volunteer or volunteers,,,100,100,100,False,False,False,False,False,False,False
torrential,Of or pertaining to a torrent; having the character of a torrent; caused by a torrent . [R.],torrent,,,100,100,100,False,False,False,False,False,False,False
sexual,"Of or pertaining to sex, or the sexes; distinguishing sex; peculiar to the distinction and office of male or female; relating to the distinctive genital organs of the sexes; proceeding from, or based upon, sex; as, sexual characteristics; sexual intercourse, connection, or commerce; sexual desire; sexual diseases; sexual generation. Sexual dimorphism (Biol.), the condition of having one of the sexes existing in two forms, or varieties, differing in color, size, etc., as in many species of butterflies which have two kinds of females. -- Sexual method (Bot.), a method of classification proposed by Linnæus, founded mainly on difference in number and position of the stamens and pistils of plants. -- Sexual selection (Biol.), the selective preference of one sex for certain characteristics in the other, such as bright colors, musical notes, etc.; also, the selection which results from certain individuals of one sex having more opportunities of pairing with the other sex, on account of greater activity, strength, courage, etc.; applied likewise to that kind of evolution which results from such sexual preferences. Darwin. In these cases, therefore, natural selection seems to have acted independently of sexual selection. A. R. Wallace.",sex,,,100,100,100,False,False,False,False,False,False,False
monophthongal,"Consisting of, or pertaining to, a monophthong.",monophthong,,,100,100,100,False,False,False,False,False,False,False
unfleshly,Not pertaining to the flesh; spiritual.,flesh,,,100,100,100,False,False,False,False,False,False,False
manorial,"Of or pertaining to a manor. "" Manorial claims."" Paley.",manor,,,100,100,100,False,False,False,False,False,False,False
totemic,"Of or pertaining to a totem, or totemism.",totem,,,100,100,100,False,False,False,False,False,False,False
loreal,"Of or pertaining to the lore; -- said of certain feathers of birds, scales of reptiles, etc.",lore,,,100,100,100,False,False,False,False,False,False,False
syrtic,"Of or pertaining to a syrt; resembling syrt, or quicksand. [R.] Ed. Rev.",syrt,,,100,100,100,False,False,False,False,False,False,False
monopolistic,Of or pertaining to a monopolist. North Am. Rev.,monopolist,,,100,100,100,False,False,False,False,False,False,False
assessorial,"Of or pertaining to an assessor, or to a court of assessors. Coxe.",assessor,,,100,100,100,False,False,False,False,False,False,False
monadical,"Of, pertaining to, or like, a monad, in any of its senses. See Monad, n. Dr. H. More.",monad,,,100,100,100,False,False,False,False,False,False,False
patellar,"Of or pertaining to the patella, or kneepan.",patella,,,100,100,100,False,False,False,False,False,False,False
gnomonic,"Of or pertaining to the gnomon, or the art of dialing. Gnomonic projection, a projection of the circles of the sphere, in which the point of sight is taken at the center of the sphere, and the principal plane is tangent to the surface of the sphere. ""The gnomonic projection derives its name from the connection between the methods of describing it and those for the construction of a gnomon or dial."" Cyc. of Arts & Sciences.",gnomon,,,100,100,100,False,False,False,False,False,False,False
chasmy,Of or pertaining to a chasm; abounding in chasms. Carlyle. They cross the chasmy torrent's foam-lit bed. Wordsworth.,chasm,,,100,100,100,False,False,False,False,False,False,False
consonant,"1. Having agreement; congruous; consistent; according; -- usually followed by with or to. Each one pretends that his opinion . . . is consonant to the words there used. Bp. Beveridge. That where much is given shall be much required is a thing consonant with natural equity. Dr. H. More. 2. Having like sounds. Consonant words and syllables. Howell. 3. (Mus.)  harmonizing together; accordant; as, consonant tones, consonant chords. 4. Of or pertaining to consonants; made up of, or containing many, consonants. No Russian whose dissonant consonant name Almost shatters to fragments the trumpet of fame. T. Moore.

An articulate sound which in utterance is usually combined and sounded with an open sound called a vowel; a member of the spoken alphabet other than a vowel; also, a letter or character representing such a sound. Note: Consonants are divided into various classes, as mutes, spirants, sibilants, nasals, semivowels, etc. All of them are sounds uttered through a closer position of the organs than that of a vowel proper, although the most open of them, as the semivowels and nasals, are capable of being used as if vowels, and forming syllables with other closer consonants, as in the English feeble (taken ( Note: ""A consonant is the result of audible friction, squeezing, or stopping of the breath in some part of the mouth (or occasionally of the throath.) The main distinction between vowels and consonants is, that while in the former the mouth configuration merely modifies the vocalized breath, which is therefore an essential element of the vowels, in consonants the narrowing or stopping of the oral passage is the foundation of the sound, and the state of the glottis is something secondary."" H. Sweet.",consonants,,,100,100,100,False,False,False,False,False,False,False
metaphorical,"Of or pertaining to metaphor; comprising a metaphor; not literal; figurative; tropical; as, a metaphorical expression; a metaphorical sense. -- Met`a*phor""ic*al*ly, adv. -- Met`a*phor""ic*al*ness, n.",metaphor,,,100,100,100,False,False,False,False,False,False,False
placoid,"Platelike; having irregular, platelike, bony scales, often bearing spines; pertaining to the placoids.

(a) Any fish having placoid scales, as the sharks. (b) One of the Placoides.",placoids,,,100,100,100,False,False,False,False,False,False,False
spelling,"The act of one who spells; formation of words by letters; orthography.

Of or pertaining to spelling. Spelling bee, a spelling match. [U.S.] -- Spelling book, a book with exercises for teaching children to spell; a speller. -- Spelling match, a contest of skill in spelling words, between two or more persons.",spelling,,,100,100,100,False,False,False,False,False,False,False
parallelogrammatic,Of or pertaining to a parallelogram; parallelogrammic.,parallelogram,,,100,100,100,False,False,False,False,False,False,False
beauish,"Like a beau; characteristic of a beau; foppish; fine. ""A beauish young spark."" Byrom.",beau,,,100,100,100,False,False,False,False,False,False,False
cremasteric,"Of or pertaining to the cremaster; as, the cremasteric artery.",cremaster,,,100,100,100,False,False,False,False,False,False,False
pterygoid,"(a) Like a bird's wing in form; as, a pterygoid bone. (b) Of, pertaining to, or in the region of, the pterygoid bones, pterygoid processes, or the whole sphenoid bone. -- n.  A pterygoid bone. Pterygoid bone (Anat.), a bone which corresponds to the inner plate of the pterygoid process of the human skull, but which, in all vertebrates below mammals, is not connected with the posterior nares, but serves to connect the palatine bones with the point of suspension of the lower jaw. -- Pterygoid process (Anat.), a process projecting downward from either side of the sphenoid bone, in man divided into two plates, an inner and an outer. The posterior nares pass through the space, called the pterygoid fossa, between the processes.",pterygoid bones,,,100,100,100,False,False,False,False,False,False,False
masterly,"1. Suitable to, or characteristic of, a master; indicating thorough knowledge or superior skill and power; showing a master's hand; as, a masterly design; a masterly performance; a masterly policy. ""A wise and masterly inactivity."" Sir J. Mackintosh. 2. Imperious; domineering; arbitrary.

With the skill of a master. Thou dost speak masterly. Shak.",master,,,100,100,100,False,False,False,False,False,False,False
theoric,"1. Of or pertaining to the theorica. 2. (pron.  Relating to, or skilled in, theory; theoretically skilled. [Obs.] A man but young, Yet old in judgment, theoric and practic In all humanity. Massinger.

Speculation; theory. [Obs.] Shak.",theorica,,,100,100,100,False,False,False,False,False,False,False
parsonic,"Of or pertaining to a parson; clerical. Vainglory glowed in his parsonic heart. Colman. -- Par*son""ic*al*ly, adv.",parson,,,100,100,100,False,False,False,False,False,False,False
summery,"Of or pertaining to summer; like summer; as, a summery day.",summer,,,100,100,100,False,False,False,False,False,False,False
bottom,"1. The lowest part of anything; the foot; as, the bottom of a tree or well; the bottom of a hill, a lane, or a page. Or dive into the bottom of the deep. Shak. 2. The part of anything which is beneath the contents and supports them, as the part of a chair on which a person sits, the circular base or lower head of a cask or tub, or the plank floor of a ship's hold; the under surface. Barrels with the bottom knocked out. Macaulay. No two chairs were alike; such high backs and low backs and leather bottoms and worsted bottoms. W. Irving. 3. That upon which anything rests or is founded, in a literal or a figurative sense; foundation; groundwork. 4. The bed of a body of water, as of a river, lake, sea. 5. The fundament; the buttocks. 6. An abyss. [Obs.] Dryden. 7. Low land formed by alluvial deposits along a river; low-lying ground; a dale; a valley. ""The bottoms and the high grounds."" Stoddard. 8. (Naut.)  The part of a ship which is ordinarily under water; hence, the vessel itself; a ship. My ventures are not in one bottom trusted. Shak. Not to sell the teas, but to return them to London in the same bottoms in which they were shipped. Bancroft. Full bottom, a hull of such shape as permits carrying a large amount of merchandise. 9. Power of endurance; as, a horse of a good bottom. 10. Dregs or grounds; lees; sediment. Johnson. At bottom, At the bottom, at the foundation or basis; in reality. ""He was at the bottom a good man."" J. F. Cooper. -- To be at the bottom of, to be the cause or originator of; to be the source of. [Usually in an opprobrious sense.] J. H. Newman. He was at the bottom of many excellent counsels. Addison. -- To go to the bottom, to sink; esp. to be wrecked. -- To touch bottom, to reach the lowest point; to find something on which to rest.

Of or pertaining to the bottom; fundamental; lowest; under; as, bottom rock; the bottom board of a wagon box; bottom prices. Bottom glade, a low glade or open place; a valley; a dale. Milton. -Bottom grass, grass growing on bottom lands. -- Bottom land. See 1st Bottom, n., 7.

1. To found or build upon; to fix upon as a support; -- followed by on or upon. Action is supposed to be bottomed upon principle. Atterbury. Those false and deceiving grounds upon which many bottom their eternal state]. South. 2. To furnish with a bottom; as, to bottom a chair. 3. To reach or get to the bottom of. Smiles.

1. To rest, as upon an ultimate support; to be based or grounded; -- usually with on or upon. Find on what foundation any proposition bottoms. Locke. 2. To reach or impinge against the bottom, so as to impede free action, as when the point of a cog strikes the bottom of a space between two other cogs, or a piston the end of a cylinder.

A ball or skein of thread; a cocoon. [Obs.] Silkworms finish their bottoms in . . . fifteen days. Mortimer.

To wind round something, as in making a ball of thread. [Obs.] As you unwind her love from him, Lest it should ravel and be good to none, You must provide to bottom it on me. Shak.",bottom,,,100,100,100,False,False,False,False,False,False,False
excremental,Of or pertaining to excrement.,excrement,,,100,100,100,False,False,False,False,False,False,False
southeast,"The point of the compass equally distant from the south and the east; the southeast part or region.

Of or pertaining to the southeast; proceeding toward, or coming from, the southeast; as, a southeast course; a southeast wind.",southeast,,,100,100,100,False,False,False,False,False,False,False
isothermobathic,"Of or pertaining to an isothermobath; possessing or indicating equal temperatures in a vertical section, as of the ocean.",isothermobath,,,100,100,100,False,False,False,False,False,False,False
gyrostatic,Of or pertaining to the gyrostat or to gyrostatics.,gyrostat or to gyrostatics,,,100,100,100,False,False,False,False,False,False,False
meteoric,"1. Of or pertaining to a meteor, or to meteors; atmospheric, as, meteoric phenomena; meteoric stones. 2. Influenced by the weather; as, meteoric conditions. 3. Flashing; brilliant; transient; like a meteor; as, meteoric fame. ""Meteoric politician."" Craik. Meteoric iron, Meteoric stone. (Min.) See Meteorite. -- Meteoric paper, a substance of confervoid origin found floating in the air, and resembling bits of coarse paper; -- so called because formerly supposed to fall from meteors. -- Meteoric showers, periodical exhibitions of shooting stars, occuring about the 9th or 10th of August and 13th of November, more rarely in April and December, and also at some other periods.",meteor,,,100,100,100,False,False,False,False,False,False,False
prebendal,"Of or pertaining to a prebend; holding a prebend; as, a prebendal priest or stall. Chesterfield.",prebend,,,100,100,100,False,False,False,False,False,False,False
weekly,"1. Of or pertaining to a week, or week days; as, weekly labor. 2. Coming, happening, or done once a week; hebdomadary; as, a weekly payment; a weekly gazette.

A publication issued once in seven days, or appearing once a week.

Once a week; by hebdomadal periods; as, each performs service weekly.",week,,,100,100,100,False,False,False,False,False,False,False
spermic,"Of or pertaining to sperm, or semen.",sperm,,,100,100,100,False,False,False,False,False,False,False
consociational,Of or pertaining to a consociation. [U.S.],consociation,,,100,100,100,False,False,False,False,False,False,False
rhetorical,"Of or pertaining to rhetoric; according to, or exhibiting, rhetoric; oratorical; as, the rhetorical art; a rhetorical treatise; a rhetorical flourish. They permit him to leave their poetical taste ungratified, provided that he gratifies their rhetorical sense. M. Arnold. -- Rhe*tor""ic*al*ly, adv. -- Rhe*tor""ic*al*ness, n.",rhetoric,,,100,100,100,False,False,False,False,False,False,False
thecodont,"1. (Anat.)  Having the teeth inserted in sockets in the alveoli of the jaws. 2. (Paleon.)  Of or pertaining to the thecodonts.

One of the Thecodontia.",thecodonts,,,100,100,100,False,False,False,False,False,False,False
earthquake,"A shaking, trembling, or concussion of the earth, due to subterranean causes, often accompanied by a rumbling noise. The wave of shock sometimes traverses half a hemisphere, destroying cities and many thousand lives; -- called also earthdin, earthquave, and earthshock. Earthquake alarm, a bell signal constructed to operate on the theory that a few seconds before the occurrence of an earthquake the magnet temporarily loses its power.

Like, or characteristic of, an earthquake; loud; starling. The earthquake voice of victory. Byron.",earthquake,,,100,100,100,False,False,False,False,False,False,False
idiographic,Of or pertaining to an idiograph.,idiograph,,,100,100,100,False,False,False,False,False,False,False
pudendal,"Of or pertaining to the pudenda, or pudendum.",pudenda,,,100,100,100,False,False,False,False,False,False,False
labyrinthic,Like or pertaining to a labyrinth.,labyrinth,,,100,100,100,False,False,False,False,False,False,False
seraphical,"Of or pertaining to a seraph; becoming, or suitable to, a seraph; angelic; sublime; pure; refined. ""Seraphic arms and trophies."" Milton. ""Seraphical fervor."" Jer. Taylor. -- Se*raph""ic*al*ly, adv. -- Se*raph""ic*al*ness, n.",seraph,,,100,100,100,False,False,False,False,False,False,False
carcinomatous,Of or pertaining to carcinoma.,carcinoma,,,100,100,100,False,False,False,False,False,False,False
santoninic,"Of or pertaining to santonin; -- used specifically to designate an acid not known in the free state, but obtained in its salts.",santonin,,,100,100,100,False,False,False,False,False,False,False
