word,definition,target 1,target 2,target,triviality_1,triviality_2,triviality,nontrivial,body_parts,misleading,lol,animals,people,places
nonylenic,"Of, pertaining to, related to, or designating, nonylene or its compounds; as, nonylenic acid.",or designating,,or designating,35,100,35,True,False,False,False,False,False,False
propaedeutical,"Of, pertaining to, or conveying, preliminary instruction; introductory to any art or science; instructing beforehand.",preliminary instruction,,preliminary instruction,36,100,36,True,False,False,False,False,False,False
blessed,"1. Hallowed; consecrated; worthy of blessing or adoration; heavenly; holy. O, run; prevent them with thy humble ode, And lay it lowly at his blessed feet. Milton. 2. Enjoying happiness or bliss; favored with blessings; happy; highly favored. All generations shall call me blessed. Luke i. 48. Towards England's blessed shore. Shak. 3. Imparting happiness or bliss; fraught with happiness; blissful; joyful. ""Then was a blessed time."" ""So blessed a disposition."" Shak. 4. Enjoying, or pertaining to, spiritual happiness, or heavenly felicity; as, the blessed in heaven. Reverenced like a blessed saint. Shak. Cast out from God and blessed vision. Milton. 5. (R. C. Ch.)  Beatified. 6. Used euphemistically, ironically, or intensively. Not a blessed man came to set her [a boat] free. R. D. Blackmore.",spiritual happiness,,spiritual happiness,43,100,43,True,False,False,False,False,False,False
calymene,A genus of trilobites characteristic of the Silurian age.,Silurian age,,Silurian age,38,100,38,True,False,False,False,False,False,False
tibiotarsal,"(a) Of or pertaining to both to the tibia and the tarsus; as, the tibiotarsal articulation. (b) Of or pertaining to the tibiotarsus.",both to the tibia and the tarsus,tibiotarsus,both to the tibia and the tarsus,55,82,55,True,True,False,False,False,False,False
penal,"Of or pertaining to punishment, to penalties, or to crimes and offenses; pertaining to criminal jurisprudence: as: (a) Enacting or threatening punishment; as, a penal statue; the penal code. (b) Incurring punishment; subject to a penalty; as, a penalact of offense. (c) Inflicted as punishment; used as a means of punishment; as, a penal colony or settlement. ""Adamantine chains and penal fire."" Milton. Penal code (Law), a code of laws concerning crimes and offenses and their punishment. -- Penal laws, Penal statutes (Law), laws prohibited certain acts, and imposing penalties for committing them. -- Penal servitude, imprisonment with hard labor, in a prison, in lieu of transportation. [Great Brit.] -- Penal suit, Penal action (Law), a suit for penalties.",punishment,criminal jurisprudence: as:,criminal jurisprudence: as:,40,40,40,True,False,False,False,False,False,False
gremial,"Of or pertaining to the lap or bosom. [R.]

1. A bosom friend. [Obs.] Fuller. 2. (Ecol.)  A cloth, often adorned with gold or silver lace, placed on the bishop's lap while he sits in celebrating mass, or in ordaining priests.",lap or bosom,,lap or bosom,29,100,29,True,False,False,False,False,False,False
lesbian,"Of or pertaining to the island anciently called Lesbos, now Mitylene, in the Grecian Archipelago.",island anciently called Lesbos,,island anciently called Lesbos,46,100,46,True,False,False,False,False,False,True
rosaceous,"1. (Bot.) (a) Of or pertaining to a natural order of plants (Rosaceæ) of which the rose is the type. It includes also the plums and cherries, meadowsweet, brambles, the strawberry, the hawthorn, applies, pears, service tress, and quinces. (b) Like a rose in shape or appearance; as, a rosaceous corolla. 2. Of a pure purpish pink color.",natural order of plants,,natural order of plants,33,100,33,True,False,False,False,False,False,False
arenilitic,"Of or pertaining to sandstone; as, arenilitic mountains. Kirwan.",sandstone,,sandstone,32,100,32,True,False,False,False,False,False,False
convival,"pertaining to a feast or to festivity; convivial. [Obs.] ""A convival dish."" Sir T. Browne.",feast or to festivity,,feast or to festivity,25,100,25,True,False,False,False,False,False,False
ottrelite,A micaceous mineral occurring in small scales. It is characteristic of certain crystalline schists.,certain crystalline schists,,certain crystalline schists,44,100,44,True,False,False,False,False,False,False
binominal,Of or pertaining to two names; binomial.,two names,,two names,38,100,38,True,False,False,False,False,False,False
saturnine,"1. Born under, or influenced by, the planet Saturn. 2. Heavy; grave; gloomy; dull; -- the opposite of mercurial; as, a saturnine person or temper. Addison. 3. (Old Chem.)  Of or pertaining to lead; characterized by, or resembling, lead, which was formerly called Saturn. [Archaic] Saturnine colic (Med.), lead colic.",lead,,lead,25,100,25,True,False,False,False,False,False,False
enharmonical,"1. (Anc. Mus.)  Of or pertaining to that one of the three kinds of musical scale (diatonic, chromatic, enharmonic) recognized by the ancient Greeks, which consisted of quarter tones and major thirds, and was regarded as the most accurate. 2. (Mus.) (a) Pertaining to a change of notes to the eye, while, as the same keys are used, the instrument can mark no difference to the ear, as the substitution of A for G#. (b) Pertaining to a scale of perfect intonation which recognizes all the notes and intervals that result from the exact tuning of diatonic scales and their transposition into other keys.",that one of the three kinds of musical scale,,that one of the three kinds of musical scale,42,100,42,True,False,False,False,False,False,False
trigeminal,"Of, pertaining to, or designating, the fifth pair of cranial nerves, which divide on each side of the head into three main branches distributed to the orbits, jaws, and parts of the mouth; trifacial.",fifth pair of cranial nerves,,fifth pair of cranial nerves,40,100,40,True,False,False,False,False,False,False
pestalozzian,"Belonging to, or characteristic of, a system of elementary education which combined manual training with other instruction, advocated and practiced by Jean Henri Pestalozzi (1746-1827), a Swiss teacher. -- n.  An advocate or follower of the system of Pestalozzi.",system of elementary education which combined manual training with other instruction,,system of elementary education which combined manual training with other instruction,33,100,33,True,False,False,False,False,False,False
temporal,"Of or pertaining to the temple or temples; as, the temporal bone; a temporal artery. Temporal bone, a very complex bone situated in the side of the skull of most mammals and containing the organ of hearing. It consists of an expanded squamosal portion above the ear, corresponding to the squamosal and zygoma of the lower vertebrates, and a thickened basal petrosal and mastoid portion, corresponding to the periotic and tympanic bones of the lower vertebrates.

1. Of or pertaining to time, that is, to the present life, or this world; secular, as distinguished from sacred or eternal. The things which are seen are temporal, but the things which are not seen are eternal. 2 Cor. iv. 18. Is this an hour for temporal affairs Shak. 2. Civil or political, as distinguished from ecclesiastical; as, temporal power; temporal courts. Lords temporal. See under Lord, n. -- Temporal augment. See the Note under Augment, n. Syn. -- Transient; fleeting; transitory.

Anything temporal or secular; a temporality; -- used chiefly in the plural. Dryden. He assigns supremacy to the pope in spirituals, and to the emperor or temporals. Lowell.",temple or temples,time,time,62,50,50,True,False,False,False,False,False,False
simious,"Of or pertaining to the Simian. That strange simious, schoolboy passion of giving pain to others. Sydney Smith.",Simian,,Simian,50,100,50,True,False,False,False,False,False,False
isohyetose,Of or pertaining to lines connecting places on the earth's surface which have a mean annual rainfall. -- n.  An isohyetose line.,lines connecting places on the earth's surface which have a mean annual rainfall,,lines connecting places on the earth's surface which have a mean annual rainfall,40,100,40,True,False,False,False,False,False,False
fidicinal,Of or pertaining to a stringed instrument.,stringed instrument,,stringed instrument,44,100,44,True,False,False,False,False,False,False
cambrian,"1. (Geog.)  Of or pertaining to Cambria or Wales. 2. (Geol.)  Of or pertaining to the lowest subdivision of the rocks of the Silurian or Molluscan age; -- sometimes described as inferior to the Silurian. It is named from its development in Cambria or Wales. See the Diagram under Geology.

1. A native of Cambria or Wales. 2. (Geol.)  The Cambrian formation.",Cambria or Wales,lowest subdivision of the rocks of the Silurian or Molluscan age,lowest subdivision of the rocks of the Silurian or Molluscan age,75,50,50,True,False,False,False,False,False,False
quartan,"Of or pertaining to the fourth; occurring every fourth day, reckoning inclusively; as, a quartan ague, or fever.

1. (Med.)  An intermittent fever which returns every fourth day, reckoning inclusively, that is, one in which the interval between paroxysms is two days. 2. A measure, the fourth part of some other measure.",fourth,,fourth,50,100,50,True,False,False,False,False,False,False
norwegian,"Of or pertaining to Norway, its inhabitants, or its language.

1. A native of Norway. 2. That branch of the Scandinavian language spoken in Norway.",Norway,,Norway,53,100,53,True,False,False,False,False,False,False
physical,"1. Of or pertaining to nature (as including all created existences); in accordance with the laws of nature; also, of or relating to natural or material things, or to the bodily structure, as opposed to things mental, moral, spiritual, or imaginary; material; natural; as, armies and navies are the physical force of a nation; the body is the physical part of man. Labor, in the physical world, is . . . employed in putting objects in motion. J. S. Mill. A society sunk in ignorance, and ruled by mere physical force. Macaulay. 2. Of or pertaining to physics, or natural philosophy; treating of, or relating to, the causes and connections of natural phenomena; as, physical science; physical laws. ""Physical philosophy."" Pope. 3. Perceptible through a bodily or material organization; cognizable by the senses; external; as, the physical, opposed to chemical, characters of a mineral. 4. Of or pertaining to physic, or the art of medicine; medicinal; curative; healing; also, cathartic; purgative. [Obs.] ""Physical herbs."" Sir T. North. Is Brutus sick and is it physical To walk unbraced, and suck up the humors Of the dank morning Shak. Physical astronomy, that part of astronomy which treats of the causes of the celestial motions; specifically, that which treats of the motions resulting from universal gravitation. -- Physical education, training of the bodily organs and powers with a view to the promotion of health and vigor. -- Physical examination (Med.), an examination of the bodily condition of a person. -- Physical geography. See under Geography. -- Physical point, an indefinitely small portion of matter; a point conceived as being without extension, yet having physical properties, as weight, inertia, momentum, etc.; a material point. -- Physical signs (Med.), the objective signs of the bodily state afforded by a physical examination.",nature,physics,nature,17,86,17,True,False,False,False,False,False,False
popish,"Of or pertaining to the pope; taught or ordained by the pope; hence, of or pertaining to the Roman Catholic Church; -- often used opprobriously. -- Pop""ish*ly, adv. -- Pop""ish*ness, n.",pope,Roman Catholic Church,Roman Catholic Church,75,33,33,True,False,False,False,False,False,False
characterize,"1. To make distinct and recognizable by peculiar marks or traits; to make with distinctive features. European, Asiatic, Chinese, African, and Grecian faces are Characterized. Arbuthot. 2. To engrave or imprint. [Obs.] Sir M. Hale. 3. To indicate the character of; to describe. Under the name of Tamerlane he intended to characterize King William. Johnson. 4. To be a characteristic of; to make, or express the character of. The softness and effeminacy which characterize the men of rank in most countries. W. Irving. Syn. -- To describe; distinguish; mark; designate; style; particularize; entitle.",to make,,to make,29,100,29,True,False,False,False,False,False,False
chelidonic,"Of, pertaining to, or derived from, the celandine. Cheidonic acid, a weak acid extracted fron the celandine (Chelidonium majus), as a white crystalline substance.",celandine,,celandine,56,100,56,True,False,False,False,False,False,False
apostolic,"1. Pertaining to an apostle, or to the apostles, their times, or their peculiar spirit; as, an apostolical mission; the apostolic age. 2. According to the doctrines of the apostles; delivered or taught by the apostles; as, apostolic faith or practice. 3. Of or pertaining to the pope or the papacy; papal. Apostolical brief. See under Brief. -- Apostolic canons, a collection of rules and precepts relating to the duty of Christians, and particularly to the ceremonies and discipline of the church in the second and third centuries. -- Apostolic church, the Christian church; -- so called on account of its apostolic foundation, doctrine, and order. The churches of Rome, Alexandria, Antioch, and Jerusalem were called apostolic churches. -- Apostolic constitutions, directions of a nature similar to the apostolic canons, and perhaps compiled by the same authors or author. -- Apostolic fathers, early Christian writers, who were born in the first century, and thus touched on the age of the apostles. They were Polycarp, Clement, Ignatius, and Hermas; to these Barnabas has sometimes been added. -- Apostolic king (or majesty), a title granted by the pope to the kings of Hungary on account of the extensive propagation of Christianity by St. Stephen, the founder of the royal line. It is now a title of the emperor of Austria in right of the throne of Hungary. -- Apostolic see, a see founded and governed by an apostle; specifically, the Church of Rome; -- so called because, in the Roman Catholic belief, the pope is the successor of St. Peter, the prince of the apostles, and the only apostle who has successors in the apostolic office. -- Apostolical succession, the regular and uninterrupted transmission of ministerial authority by a succession of bishops from the apostles to any subsequent period. Hook.

A member of one of certain ascetic sects which at various times professed to imitate the practice of the apostles.",pope or the papacy,,pope or the papacy,33,100,33,True,False,False,False,False,False,False
ambrosian,"Ambrosial. [R.] . Jonson.

Of or pertaining to St. Ambrose; as, the Ambrosian office, or ritual, a formula of worship in the church of Milan, instituted by St. Ambrose. Ambrosian chant, the mode of signing or chanting introduced by St. Ambrose in the 4th century.",St,,St,0,100,0,True,False,False,False,False,False,False
metabolic,"1. (Biol.)  Of or pertaining to metamorphosis; pertaining to, or involving, change. 2. (Physiol.)  Of or pertaining to metabolism; as, metabolic activity; metabolic force.",metamorphosis,change,change,56,17,17,True,False,False,False,False,False,False
spiraeic,"Of, pertaining to, or derived from, the meadowsweet (Spiræa); formerly, designating an acid which is now called salicylic acid.",meadowsweet,,meadowsweet,25,100,25,True,False,False,False,False,False,False
compromise,"1. A mutual agreement to refer matters in dispute to the decision of arbitrators. [Obs.] Burrill. 2. A settlement by arbitration or by mutual consent reached by concession on both sides; a reciprocal abatement of extreme demands or rights, resulting in an agreement. But basely yielded upon compromise That which his noble ancestors achieved with blows. Shak. All government, indeed every human benefit and enjoyment, every virtue and every prudent act, is founded on compromise and barter. Burke. An abhorrence of concession and compromise is a never failing characteristic of religious factions. Hallam. 3. A committal to something derogatory or objectionable; a prejudicial concession; a surrender; as, a compromise of character or right. I was determined not to accept any fine speeches, to the compromise of that sex the belonging to which was, after all, my strongest claim and title to them. Lamb.

1. To bind by mutual agreement; to agree. [Obs.] Laban and himself were compromised That all the eanlings which were streaked and pied Should fall as Jacob's hire. Shak. 2. To adjust and settle by mutual concessions; to compound. The controversy may easily be compromised. Fuller. 3. To pledge by some act or declaration; to endanger the life, reputation, etc., of, by some act which can not be recalled; to expose to suspicion. To pardon all who had been compromised in the late disturbances. Motley.

1. To agree; to accord. [Obs.] 2. To make concession for concilation and peace.",religious factions,,religious factions,30,100,30,True,False,False,False,False,False,False
semicubical,"Of or pertaining to the square root of the cube of a quantity. Semicubical parabola, a curve in which the ordinates are proportional to the square roots of the cubes of the abscissas.",square root of the cube of a quantity,,square root of the cube of a quantity,36,100,36,True,False,False,False,False,False,False
sacchulmic,"Of, pertaining to, or designating, an acid obtained as a dark amorphous substance by the long-continued boiling of sucrose with very dilute sulphuric acid. It resembles humic acid. [Written also sacculmic.]",acid obtained as a dark amorphous substance by the long-continued boiling of sucrose with very dilute sulphuric acid,,acid obtained as a dark amorphous substance by the long-continued boiling of sucrose with very dilute sulphuric acid,50,100,50,True,False,False,False,False,False,False
uxorial,"Dotingly fond of, or servilely submissive to, a wife; uxorious; also, becoming a wife; pertaining to a wife. [R.] The speech [of Zipporah, Ex. iv. 25] is not a speech of reproach or indignation, but of uxorial endearment. Geddes.",wife,,wife,25,100,25,True,False,False,False,False,False,False
arbuscular,Of or pertaining to a dwarf tree; shrublike. Da Costa.,dwarf tree,,dwarf tree,30,100,30,True,False,False,False,False,False,False
productus,"An extinct genus of brachiopods, very characteristic of the Carboniferous rocks.",Carboniferous rocks,,Carboniferous rocks,44,100,44,True,False,False,False,False,False,False
turndown,"1. Capable of being turned down; specif. (Elec.), designating, or pertaining to, an incandescent lamp with a small additional filament which can be made incandescent when only a small amount of light is required. 2.  Made to wear with the upper part turned down; as, a turndown collar.",incandescent lamp with a small additional filament which can be made incandescent when only a small amount of light is required,,incandescent lamp with a small additional filament which can be made incandescent when only a small amount of light is required,38,100,38,True,False,False,False,False,False,False
syphilodermatous,Of or pertaining to the cutaneous manifestations of syphilis.,cutaneous manifestations of syphilis,,cutaneous manifestations of syphilis,44,100,44,True,False,False,False,False,False,False
pharisaical,"1. Of or pertaining to the Pharisees; resembling the Pharisees. ""The Pharisaic sect among the Jews."" Cudworth. 2. Hence: Addicted to external forms and ceremonies; making a show of religion without the spirit of it; ceremonial; formal; hypocritical; self-righteous. ""Excess of outward and pharisaical holiness. "" Bacon. ""Pharisaical ostentation."" Macaulay. -- Phar`i*sa""ic*al*ly, adv. -- Phar`i*sa""ic*al*ness, n.",Pharisees,,Pharisees,56,100,56,True,False,False,False,False,False,False
artocarpeous,"Of or pertaining to the breadfruit, or to the genus Artocarpus.",breadfruit,,breadfruit,36,100,36,True,False,False,False,False,False,False
noematical,Of or pertaining to the understanding. [Obs.] Cudworth.,understanding,,understanding,40,100,40,True,False,False,False,False,False,False
solpugid,Of or pertaining to the Solifugæ. -- n.  One of the Solifugæ.,Solifugæ,,Solifugæ,53,100,53,True,False,False,False,False,False,False
hemal,"Relating to the blood or blood vessels; pertaining to, situated in the region of, or on the side with, the heart and great blood vessels; -- opposed to neural. Note: As applied to vertebrates, hemal is the same as ventral, the heart and great blood vessels being on the ventral, and the central nervous system on the dorsal, side of the vertebral column. Hemal arch (Anat.), the ventral arch in a segment of the spinal skeleton, formed by vertebral processes or ribs.",region of,,region of,20,100,20,True,False,False,False,False,False,False
ranunculaceous,"Of or pertaining to a natural order of plants (Ranunculaceæ), of which the buttercup is the type, and which includes also the virgin's bower, the monkshood, larkspur, anemone, meadow rue, and peony.",natural order of plants,,natural order of plants,36,100,36,True,False,False,False,False,False,False
cretacic,"Of, pertaining to, or designating, the period of time following the Jurassic and preceding the Eocene.",period of time following the Jurassic and preceding the Eocene,,period of time following the Jurassic and preceding the Eocene,50,100,50,True,False,False,False,False,False,False
hypothenar,"Of or pertaining to the prominent part of the palm of the hand above the base of the little finger, or a corresponding part in the forefoot of an animal; as, the hypothenar eminence.

The hypothenar eminence.",prominent part of the palm of the hand above the base of the little finger,,prominent part of the palm of the hand above the base of the little finger,50,100,50,True,True,False,False,False,False,False
scorbutic,"Of or pertaining to scurvy; of the nature of, or resembling, scurvy; diseased with scurvy; as, a scorbutic person; scorbutic complaints or symptoms. -- Scor*bu""tic*al*ly, adv.",scurvy,,scurvy,50,100,50,True,False,False,False,False,False,False
sylvicoline,Of or pertaining to the family of warblers (Sylvicolidæ). See Warbler.,family of warblers,,family of warblers,28,100,28,True,False,False,False,False,False,False
rascal,"1. One of the rabble; a low, common sort of person or creature; collectively, the rabble; the common herd; also, a lean, ill- conditioned beast, esp. a deer. [Obs.] He smote of the people seventy men, and fifty thousand of the rascal. Wyclif (1 Kings [1 Samuel] vi. 19). Poor men alone No, no; the noblest deer hath them [horns] as huge as the rascal. Shak. 2. A mean, trickish fellow; a base, dishonest person; a rogue; a scoundrel; a trickster. For I have sense to serve my turn in store, And he's a rascal who pretends to more. Dryden.

Of or pertaining to the common herd or common people; low; mean; base. ""The rascal many."" Spencer. ""The rascal people."" Shak. While she called me rascal fiddler. Shak.",common herd or common people,,common herd or common people,33,100,33,True,False,False,False,False,False,False
dactylar,"1. Pertaining to dactyl; dactylic. 2. (Zoöl.)  Of or pertaining to a finger or toe, or to the claw of an insect crustacean.",finger or toe,,finger or toe,12,100,12,True,True,False,False,False,False,False
carnose,"1. Of a pertaining to flesh; fleshy. A distinct carnose muscle. Ray. 2. (Bot.)  Of a fleshy consistence; -- applied to succulent leaves, stems, etc.",flesh,,flesh,20,100,20,True,False,False,False,False,False,False
